Company,Location,education,Skills/Description,job_type,salary,Job Experience,Job_Role
Experis IT Private Limited,"Bangalore/Bengaluru, any",Post-graduate,"hive, cloudera, python, NoSQL, spark, Cassadra, Scala, troubleshooting",full-time,415639.0,3-5,urgent hiring For data engineers - bang / any
SKYONNTECHNOLOGIES PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",pg,"AWS Pyspark, AWS Glue, Python, AWS, AWS Python",full-time,1162449.0,3-8,AWS Data Engineer
Symphoni HR Private Limited,Bangalore/Bengaluru,UG,"aws glue, pyspark, aws data engineer, spark, nosql, air flow, aws data base migration service",contract,2411186.0,4-7,AWS Data Engineer
Symphoni HR Private Limited,Remote,pg,"Glue, pyspark, data engineering, nosql, IT Skills, Cloud, Big Data, AWS",full-time,312111.0,4-9,"AWS Data Engineer,4-10yrs,Bangalore"
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,ug,"java, spark, scala, data engineer, Mapreduce, PySpark, Hive, written",contract,1161242.0,3-8,Data Engineer
CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",ug,"Pyspark, Redshift, AWS, Dynamo DB, S3, Glue, AWS Data Migration, Lambda",full-time,2304465.0,3-8,AWS Data Engineer
Symphoni HR Private Limited,Bangalore/Bengaluru,,"Pyspark, Glue, Redshift, Lambda, S3, Spark, Dynamo DB, AWS",contract,1336760.0,4-6,Hiring AWS Data Engineer-
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,Under-graduate,"Java, spark, scala, Data Engineer, Mapreduce, EMR, PySpark, Titan",full-time,2320775.0,3-8,Data Engineer
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,Under-graduate,"java, spark, scala, data engineer, mapreduce, pyspark, Python",contract,421597.0,3-8,Data Engineer
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,Post-graduate,"Java, data engineer, Map Reduce Framework, IT Skills, Python, Big Data, Data Engineering, spark",,,3-8,Big Data Engineer
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,pg,"Java, Data engineer, spark, SCALA, Map reduce, hive, Pyspark, Data Engineering",contract,1575573.0,3-8,Big Data Engineer
Career Infosystem,Bangalore/Bengaluru,PG,"Business Intelligence, Data Quality, Data Pipeline, Data Architect, Data Profiling, Database Design, Big Data, Data Visualization",contract,2306113.0,4-6,Data Engineer - ETL/ Python/ Big Data
Symphoni HR Private Limited,Pune,PG,"Azure data engineer, Databricks, Azure, Data Factory, IT Skills, Azure Data Factory, Azure Databricks",full-time,948886.0,5-10,Opening For Azure Data Engineer role.
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,,"mapreduce, Spark, Apache Avro, NoSQL, Map Reduce, Python, Unix Shell Scripting, Core JAVA",,615319.0,3-8,Data Engineer
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,Post-graduate,"Java, scala, data engineer, mapreduce, spark, Pyspark, Data Engineering, big data developer",full-time,1920514.0,3-8,Data Engineer with Map Reduce
Anlage Infotech (I) Pvt. Ltd.,Hyderabad/Secunderabad,Under-graduate,"data engineer, mapreduce, Spark, Apache Avro, NoSQL, Map Reduce, Python, Unix Shell Scripting",full-time,925915.0,3-8,Data Engineer with Map Reduce
Symphoni HR Private Limited,Pune,Post-graduate,"Azure data engineer, Data Factory, Databricks, Azure, IT Skills, Azure Data Factory, Azure Databricks",,2243997.0,5-10,Opening For Azure Data Engineer role.
Bean HR Consulting,Gurgaon/Gurugram,pg,"GCP, big data, cloud, hive, Hadoop",full-time,643273.0,3-6,Data Engineer (Big Data & GCP Cloud) / Only Immediate Joiner's
Fact Personnel Pvt Ltd,Vadodara,PG,"data engineer, Data Cleansing, SQL Azure, azure",contract,,2-7,Data Engineer - Baroda
Orcapod Consulting Services Private Limited,Bangalore/Bengaluru,Under-graduate,"Java, Data Engineering, Aws Cloud, ETL, Python, ELT, NoSQL, Relational",contract,1256630.0,7-11,Immediate Opening For Data Engineer
Orcapod Consulting Services Private Limited,Bangalore/Bengaluru,ug,"python, Bigdata, pyspark, Lambada, etl, Communication, EMR, AWS Cloud",contract,705808.0,5-10,Immediate Opening For Data Engineer
HR CENTRAL,Gurgaon/Gurugram,pg,"python, big data, aws, ETL, sql, Snowflake, Power BI, Tableau",,694294.0,3-5,"Data Engineer-SQL,Python,ETL development, big data,AWS, 3-5yrs,gurgaon"
Connexion Group,Bangalore/Bengaluru,Post-graduate,"Data Engineering, Python Data, Data Visualization, React JS, TypeScript, CI / CD, Data Visualisation, JS",contract,,2-4,Data Engineer
COEPD,Bangalore/Bengaluru,Post-graduate,"data engineering, driven, test, root cause analysis, continuous integration, IT Skills, Product Management, S3",full-time,,4-7,Data Engineer
Career Infosystem,Bangalore/Bengaluru,ug,"Data Science, Python, Azure, Tableau, data management, ETL tools, Data Mining, Data Integration",contract,1712968.0,4-9,Data Engineer/ Data Science Consultant - Business Intelligence Tools
SAM Manpower Career Services LLP,"Chennai, Bangalore/Bengaluru",ug,"Oozie, BigData, Python, Azure, Airflow, Databricks, Java, Spark",contract,2364169.0,3-6,Operations Data Engineer(Azure/AWS)
SKYONNTECHNOLOGIES PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",ug,"Azure Databricks, ADB+ADF+Python, Pyspark, IT Skills, Python, DevOps, Azure, Azure Data Factory",contract,1461780.0,5-10,Azure Data Engineer
Orcapod Consulting Services Private Limited,Bangalore/Bengaluru,PG,"python, Data Engineering, aws, etl, Data Warehousing, NoSQL, Data Lakes, Data integration",contract,438445.0,7-12,Immediate Opening For Big Data Engineer
SKYONNTECHNOLOGIES PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Under-graduate,"AWS Pyspark, AWS, Python, AWS Glue, IT Skills, Cloud, DevOps, AWS Python",full-time,849005.0,3-8,AWS Data Engineer
Symphoni HR Private Limited,Bangalore/Bengaluru,UG,"Glue, Redshift, AWS Database migration, AWS data engineering, Cloud Watch, Lambda, S3, Spark",,1043540.0,5-10,Hiring For AWS Data Engineer- with Product based Company
Acme Services,Bangalore/Bengaluru,ug,"Python, Kubernetes, Terraform, AWS, Airflow, Docker, Ansible, IT Skills",full-time,1732358.0,5-7,AWS Data Ops Engineer
CHANGE LEADERS CONSULTING,Bangalore/Bengaluru,Under-graduate,"IT Skills, Python, Big Data, Hive, NoSQL, Scala, Spark, ETL Tool",contract,2490547.0,3-5,Big Data Engineer-affine
Orcapod Consulting Services Private Limited,Bangalore/Bengaluru,UG,"Pyspark, python, bigdata, EMR, Lambda Aws, AWS Cloud, Lambda, ETL",contract,1814554.0,8-12,Immediate opening For Data Engineer role
Orcapod Consulting Services Private Limited,Bangalore/Bengaluru,pg,"Pyspark, python, bigdata, EMR, Lambda Aws, AWS Cloud, Lambda, ETL",contract,1542024.0,7-12,Immediate opening For Data Engineer role
Samaira HR Solutions,Bangalore/Bengaluru,pg,"ETL, SQL, Python, Data Warehousing, AWS Stack, Data Modeling, Hive, Hadoop",contract,2434191.0,3-5,"SQL | Python | ETL | Data Engineer, Bangalore"
Abacus Staffing and Services Pvt Ltd.,Bangalore/Bengaluru,ug,"Angular 9, Data Engineering, ui development, Rest API, Json, Python, jQuery, JavaScript",full-time,1589242.0,5-9,Data Engineer
Talent Corner HR Services Pvt Ltd,Bangalore/Bengaluru,,"Azure, Scrum, Agile, IT Skills, Cloud",,882601.0,1-4,Software developer/ Data Engineer
Connexion Group,Bangalore/Bengaluru,,"Pyspark, Python, SQL query, performance tuning, Hadoop, SQL, IT Skills, Data Engineering",full-time,1499507.0,3-5,Data Engineer (Python)
NR Consulting,Bangalore/Bengaluru,Post-graduate,"Aws Lambda, Data Bricks, Python, SQL, Spark, Kubernetes, AWS, Docker",full-time,2373036.0,4-5,Big Data Engineer
CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",ug,"Pyspark, Redshift, AWS, Dynamo DB, S3, Glue, Lambda, Spark",contract,1375305.0,3-8,AWS Data Engineer
Career Infosystem,Bangalore/Bengaluru,Under-graduate,"Business Intelligence, IT Skills, Python, Oracle, Big Data, AWS, Tableau, Data Quality",full-time,1627612.0,4-6,Data Engineer - Etl/python /Big Data
SKILLVENTORY,Bangalore/Bengaluru,Post-graduate,"Cluster Management, Technical Skills, Big Data, Data Engineer, Data Modeling, Data Warehousing, Tableau, ETL",full-time,2097449.0,5-8,Data Engineer with Investment Bank
Adecco India Private Limited,Bangalore/Bengaluru,Post-graduate,"Pentaho, S3, Apache PySpark, EC2, Spark, EMR, communication, Pentaho Data Integration",contract,,5-9,Data Engineer
ManpowerGroup Services India Private Limited,Gurgaon/Gurugram,Under-graduate,"Snowflake, ETL, AWS, SQL, Python",contract,2400834.0,3-6,Data Engineer Gurgoan
INUMELLAS CONSULTANCY SERVICES PRIVATE LIMITED,"Hyderabad/Secunderabad, Bangalore/Bengaluru, India",,"Airflow, Scala Programming, Spark SQL, Hadoop Spark, Spark, Spark Programming, Cdh, Hadoop Development",full-time,,5-8,"Data Engineer - Spark, Scala & Airflow"
Rivera Manpower Services,Bangalore/Bengaluru,Post-graduate,"Data Engineering, technology consulting, process mining, Data Analytics, IT Skills, Python, Quality Assurance, Big Data",full-time,1994578.0,4-8,Technology Consultant For Celonis - Data Engineering/ Data Analytics
KARYA CONSULTANTS PRIVATE LIMITED,Bangalore/Bengaluru,ug,"Design Patterns, Software Engineering, Web Technologies, Machine Learning, Web Services",full-time,601782.0,2-3,Data Engineer
SDNA Global,Bangalore/Bengaluru,,"java, scala, spark, Hadoop, IT Skills",full-time,578617.0,5-7,Data Engineer
CHANGE LEADERS CONSULTING,Bangalore/Bengaluru,Post-graduate,"Druid, Hadoop, Tableau, Looker, mySQL, NOSQL DBs, Cassandra, data analysis",contract,1271223.0,6-11,Data Engineer
Growel Softech Pvt. Ltd.,Bangalore/Bengaluru,Post-graduate,"data warehouse, Informatica, ETL",full-time,2428837.0,3-8,Data Engineer
Microsoft,Noida,PG,"Supply chain, Supply chain management, Operations research, Data management, microsoft, Business intelligence, Analytics, SQL",contract,367964.0,10-15,Software Engineering Manager - Data Science
Micron Tech,Hyderabad/Secunderabad,PG,"Data Science, python, Machine learning, analytical, HDFS, Hadoop, Hive, AngularJS",full-time,2270220.0,1-2,"Data Science Engineer, Smart MFG & AI"
BLEND360 INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,,"Data Engineering, IT Skills, Python, Data Science, Cloud, Big Data, AWS, Elasticsearch Engine",full-time,1171336.0,8-13,Technical Manager - Data Engineering
Adecco India Private Limited,Pune,pg,"Azure Data Factory, Azure Data Lake, Azure Databricks, architectural design, software engineering, financial services, business applications, finance",full-time,1840445.0,10-20,Azure Data Engineer For UBS on Adecco's Payroll For 1 year C2H.
Career Infosystem,Bangalore/Bengaluru,Post-graduate,"Presentation Skills, R, Web Technologies, Web Crawling, Advanced Excel, Tableau, Data Analytics, Supply Chain",contract,1388065.0,4-6,Data Analytics Engineer - R/python
Career Infosystem,Bangalore/Bengaluru,Post-graduate,"IT Skills, Java, Python, Cloud, DevOps, Jenkins, Azure, Unix",full-time,1693857.0,4-8,Azure Build Engineer - Big Data/java/python
BSRI SOLUTIONS,Chennai,,"Data Management, Data Quality, NoSQL, Subject Matter Expertise, Flow Diagrams, Hadoop, Big Data, Metadata",full-time,1484755.0,6-11,Data Engineer
Bclericz,Noida,pg,"Pyspark, Hive, SQL, Big Data, IT Skills",contract,1225366.0,3-6,Data Engineer
RAPINNO TECH SOLUTIONS PRIVATE LIMITED,"Mumbai, Navi Mumbai, Mumbai (All Areas)",Post-graduate,"Hive, Hadoop, Spark, EMR, IT Skills, PHP, Software Development, HTML",contract,1372597.0,3-8,Data Engineer
IQVIA RDS India Pvt Ltd,Bangalore/Bengaluru,ug,"Big Data Testing, Hdfs, Hive, Hadoop Testing, Big Data, Mapreduce, Impala, Gcp Cloud",full-time,2407364.0,2-7,Big Data Testing Engineer
Career Infosystem,Bangalore/Bengaluru,pg,"Spotfire, R, EDA, Web Crawling, Tableau, Data Analytics, Virtualization, Web Scraping",contract,843226.0,4-6,Data Analytics Engineer - R/ Python
US RECRUITMENT CONSULTANTS,Bangalore/Bengaluru,Post-graduate,"SAS, database programming, Java, ETL, data processing, Python, data mining, predictive modeling",full-time,1112745.0,5-10,Data Science Engineer
Jubilant Generics Limited,Bangalore/Bengaluru,Post-graduate,"CRO, OPEX, Data analysis, Medicinal chemistry, Team management, Analytical, Pharmacy, clinical development",full-time,2067600.0,4-6,Sr. Research Scientist (DMPK-Invitro)
PARTICLE41 INDIA LLP,Pune,Under-graduate,"Python, written communication, CI / CD, verbal, IT Skills, Testing, Airflow, Pyspark",,757987.0,2-5,Data Engineer
Caprus IT Private Limited,Hyderabad/Secunderabad,,"PySpark, Data Lake, Pipeline creations, Python, structures, IT Skills",contract,1048021.0,5-10,Immediate Hiring For BIG DATA Engineer Position
Cardlytics,Visakhapatnam,ug,"MS SQL, RDBMS, MIS, Agile, JSON, Scrum, Apache, microsoft",contract,668515.0,2-5,Principal Data Engineer
2Coms,"Kolkata, Kolkata",Under-graduate,"Azure Data Factory, Azure, Azure Synapse analytics, Data Modelling, ETL, SQL Server, Dev - Ops, IT Skills",contract,666278.0,1-6,Data Engineer - Azure Synapse
Career Infosystem,Delhi / NCR,Post-graduate,"Data Visualization, Azure Data Lake, Python, AI, communication, agile methodology, cloud data visualization, SQL",full-time,663998.0,4-8,Senior Application Developer - Data Visualization
Teachers Insurance and Annuity Association of America (TIAA),Pune,UG,"Business process, Master data management, Analytical, Strategic planning, data governance, Manager Technology, Data quality, Customer service",contract,2196141.0,4-8,Manager Data Engineering
TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,Post-graduate,ETL,full-time,1508215.0,3-5,Data Engineer - ETL | Advance Auto Parts
HRS,Chandigarh,Post-graduate,"Procurement, Supply chain, ERP, Web analytics, Control-M, Scheduling, Informatica, Open source",full-time,1038166.0,7-10,Data Engineer
HRS,Chandigarh,Under-graduate,"AWS, communication, IT Skills, Machine Learning, Cloud, Engineering services, Supply chain, Procurement",full-time,1511658.0,1-4,Data Engineer
Advance Auto Parts,Hyderabad/Secunderabad,UG,"Computer science, Backend, Cloud, Agile, Management, Business intelligence, Troubleshooting, AWS",contract,1326906.0,2-5,Data Engineer II
Epiqsystems India Private Limited,Hyderabad/Secunderabad,ug,"snowflake, adf, sql azure, Stored Procedures, SSIS, BPO, data analysis",full-time,1418471.0,4-7,Data Engineer
EDGEMATICS CONSULTING PRIVATE LIMITED,Pune,,"PLSQL, IT Skills, Big Data, technical support, l1, 24X7, etl, Production Support",contract,2152365.0,1-2,Data Engineer (L1 Support)
Reflections Info Systems,Trivandrum/Thiruvananthapuram,Under-graduate,"IT Skills, Python, AWS, Azure, Backend, Healthcare, Apache, Business intelligence",full-time,2439995.0,10-15,Data Engineer
TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,Post-graduate,"Pyspark, AWS",full-time,1327781.0,3-5,Data Engineer - Pyspark | Advance Auto Parts
SAS Institute,Pune,PG,"Computer science, Automation, Change management, SAS, Data management, Coding, Agile, Customer service",contract,,3-10,"Manager, Data Engineering"
TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,Post-graduate,sql,full-time,806898.0,4-7,Data Engineer - Snowflake | Advance Auto Parts
TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,Post-graduate,sql,full-time,1226984.0,4-7,Data Engineer - Power Bi | Advance Auto Parts
SKANDHA IT SERVICES PRIVATE LIMITED,Hyderabad/Secunderabad,ug,"data Modelling, ADLS, ADF, Synapse, DataModelling",contract,524475.0,4-8,Looking For Data Engineering
LANDMARK ADV,Delhi / NCR,PG,"SQL, INFORMATICA, ORACLE ETL, DATA WAREHOUSING, JIRA, QUERY OPTIMIZATION TERADATA, AGILE, BIG DATA",full-time,,6-8,Urgent Opening For DATA Delivery Engineer ( UK Based Company )
Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,UG,"Data Science, HIVE, Data Management, Spark, Data Analytics, Machine Learning, Statistics, Python",contract,1760936.0,8-13,Senior Vice President - Analytics - Data Science Team - IIT/ IIM
Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,,"Data Science, Artificial Intelligence, Data Management, Data Analytics, Machine Learning, Statistics, Analytics, Python",full-time,734668.0,8-13,Senior Vice President - Analytics - Data Science Team - IIT/ IIM/ XLRI
Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,UG,"Data Science, IT Skills, Python, Machine Learning, Project Management, BPO, project management, Artificial Intelligence",contract,1051125.0,8-13,Senior Vice President- Analytics- Data Science Team-Insurance- IIT/IIM
Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Under-graduate,"Data Science, Artificial Intelligence, Data Management, Data Analytics, Machine Learning, Statistics, Analytics, Python",full-time,702656.0,8-13,Senior Vice President - Analytics - Data Science Team - Insurance
Spiceworks,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",ug,"IT Skills, Python, Data Science, Cloud, Project Management, AWS, Tableau, Data analysis",contract,1485637.0,0-2,Associate Business Analyst
Vision Excel Career Solutions,"Mumbai, Hyderabad/Secunderabad, Greater Noida, Bangalore/Bengaluru",PG,"Data Ingestion, IT Skills, Java, Python, Big Data, metadata, Sqoop, Hadoop",contract,369983.0,5-10,Data Ingestion Professional
NOTUS SERVICES PRIVATE LIMITED,"Pune, Bangalore/Bengaluru, Delhi / NCR",UG,"Datastage, databricks, ETL, PLSQL, Data factory, Azure Databricks, SQL, Azure Data Engineering",full-time,475072.0,5-10,Azure DataBricks Dev Lead / Azure Data Stage Dev Lead
AugmatrixGo,"Hyderabad, Pune",,"Process automation, Marketing analytics, Web analytics, data science, Analytical, Digital marketing, Adobe, Teradata",full-time,2114959.0,5-10,Marketing Analytics with Data Science Lead
Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",PG,"Data Analytics, BI tools, Power BI, ML modeling, Tez, HDFS, client management, Insights Generation",full-time,855420.0,2-7,Manager - Data Analytics - IIT/IIM
Successr HR Tech PVT LTD,Bangalore/Bengaluru,Post-graduate,"Data Science, IT Skills, Testing, Machine Learning, data analysis, data mining, Nosql db, query languages such as SQL",contract,1724928.0,4-9,Data Science Professional - Contract To Hire
Uber,Bangalore/Bengaluru,PG,"Product management, Data analysis, Coding, Machine learning, Algorithm development, Data processing, Customer support, Analytics",full-time,,1-5,"Applied Scientist II, Customer Obsession"
Philips,Bangalore/Bengaluru,PG,"Computer science, Data analysis, Front end, Data collection, Healthcare, Workflow, Instrumentation, Oncology",full-time,1507395.0,8-10,Scientist I
Resources Valley,"Gurgaon/Gurugram, Jaipur",UG,"Big Data, data analysis, Spark, Cloud, MapReduce, DevOps, IoT, Machine Learning",contract,1035651.0,2-4,Big Data Developer
Sharechat,Bangalore/Bengaluru,Under-graduate,"Outbound, Data analysis, Operations research, Online marketing, Analytical, Social media, Management consulting, Data mining",contract,2434525.0,2-7,Decision Scientist
Philips,Bangalore/Bengaluru,PG,"Computer science, Front end, Analytical, Machine learning, Healthcare, Data processing, Data structures, Oncology",,2360862.0,3-7,Research Scientist I
Anicalls,Noida,Post-graduate,"Azure Data Factory, MapReduce, Azure, Performance, Hadoop, Talend, Hive, Big Data",contract,713320.0,5-10,Talend Big Data Lead
TA Digital,Gurgaon/Gurugram,UG,"Data Science, data management, machine learning, Predictive Modeling, R, NoSQL, Big Data, Data Mining",,936406.0,8-13,Data Science Lead
TA Digital,Gurgaon/Gurugram,Under-graduate,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Data management, Analytical",,1008501.0,8-13,Data Science Lead
Youth4 Talent Solutions and Services,Gurgaon/Gurugram,PG,"Hadoop, data architecture, Hive, Python, Spark, AWS, SQL, data modelling",contract,2479268.0,5-8,Big Data Developer
Ignitho,Remote,PG,"SSMS, SSRS, MS visual studio, SSIS, Ms Sql Database, IT Skills, Python, Cloud",full-time,1819803.0,8-13,Data Warehouse Lead (US Shift)
Continuum Global,Gurgaon/Gurugram,pg,"Data Science, Artificial Intelligence, Data Analysis, Tableau, Data Modeling, Machine Learning, Statistical Analysis, Python",full-time,833862.0,4-6,Data Science Lead
aarete,Pune,Under-graduate,"data cleansing, SAN, Data migration, Head Business Development, SOC, SMS, SSIS, Analytics",contract,467333.0,10-15,Azure Data Lead
Shell Info Technologies Private Limited,Hyderabad/Secunderabad,ug,"azure data lake, pyspark, azure data factory, synapse, SparkSQL, Databricks, Spark, Snowflake",,2031746.0,8-10,Looking For Azure Data Tech Lead
Mad Street Den,Chennai,pg,"Mining, Computer science, data science, Machine learning, Data mining, Business intelligence, Forecasting, Financial services",contract,1234664.0,2-6,Data Science Lead - Finance
Feathersoft Info Solutions Private Limited,"Kochi/Cochin, Chennai",PG,"SQL queries, Data analysis, Google Analytics, Data modeling, Process improvement, Data collection, Data analytics, Business intelligence",contract,890184.0,5-10,Data Analytics Lead
Quadratyx,Hyderabad,PG,"Computer science, Maven, Agile, Data structures, Application development, Apache, Distribution system, Analytics",contract,1996934.0,6-11,Tech Lead Big Data
Mount Talent Consulting Private Limited,"Bangalore/Bengaluru, Delhi / NCR",Post-graduate,"Data Science, Predictive Modeling, Regression, Machine Learning, Python, Logistic Regression, Time Series",contract,754355.0,2-4,Data Science Analyst
Saasvaap Techies Pvt. Ltd.,Remote,Under-graduate,"S3, Quicksight, Data Architecture Principles, Kafka, Redis, bigdata",full-time,785882.0,6-10,Data Architect Analyst
Bytes To Bots Consultancy Services Private Limited,Bangalore/Bengaluru,Under-graduate,"management, Python, database design, APIs, Webhooks, Data Management, system administration, Docker",contract,,5-8,"Sr. Data Engineer_ Python, APi,Sql_ Permanent WFH"
SKILLLABS RESOURCE SERVICES Pvt Ltd,New Delhi,Under-graduate,"Relational Databases, Data Analysis, Process Improvement, Data Anayst, SQL",,474028.0,2-5,Data Analyst
One March India,"Mumbai, Mumbai Suburban, Thane",,"Data Analytics, Microsoft Office Suite, Word, PowerPoint, MS SQL, Excel, IT Skills, data support",full-time,1059127.0,4-9,Data Analyst -required For a US MNC IT Co in Mumbai (5day)
ABG Group,"Noida, New Delhi, Delhi / NCR",UG,"Advanced Excel, google scripting, Text Analytics, Data Management, Data Management And Analysis, Formulas, Google AdWords, HLOOKUP",,,1-3,Data Analyst
Bluelight Resources Pvt. Ltd.,Hyderabad/Secunderabad,pg,"ArcFm, Arcgis Pro, Arcgis, FME",contract,,5-10,Urgent Hiring For Data Analyst (GIS) - Hyderabad
iPlace Consultancy,Surat,pg,"Data Analysis, MIS, VLOOKUP, Data Management, Formulas, Advanced Excel, Pivot, Data Analytics",,780741.0,2-5,Data Analysis Analyst - Surat Location (Katargam)
WIZSPRINT CONSULTANTS (OPC) PRIVATE LIMITED,Delhi / NCR,Post-graduate,"Data Analysis, Trend Analysis, Power, Energy, Data Mining",full-time,1515194.0,8-13,Chief Data Analyst - Delhi (Power Sector)
NEW AGE HR LLP,"Thane, Navi Mumbai, Mumbai (All Areas)",UG,"SQL Queries, Tableau, data analyst, python, Power Bi",full-time,984024.0,2-7,Urgent Hiring For Data Analyst
Right Step Consulting,"New Delhi, Gurgaon/Gurugram",,"Tracking, Policies, Analytical, Market research, Data Analyst, Data mining, Real estate, Forecasting",contract,1345665.0,2-5,Data Analyst
Right Step Consulting,"New Delhi, Gurgaon/Gurugram",PG,"Visual Basic, MySQL, Data Analyst, KPO, Business Objects, Oracle, Business intelligence, Macros",full-time,894371.0,3-6,Data Analyst
Inventech Info Solutions Pvt. Ltd.,"Angul, Bellary/Ballari, Bareilly, Anantapur, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Ankleshwar",pg,"HIVE, R, Shell, Shell., SQL, Python",full-time,817136.0,2-6,opening For Data Scientist_Hyderabad
Searce Cosourcing Services Pvt Ltd,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)",PG,"SCALA, AWS, Python, Java",full-time,1561528.0,6-11,The perfect opportunity For You To showcase your strong data architect
CaaStle,"New Delhi, Bangalore/Bengaluru",pg,"Firebase, Google Analytics, OneTrust, Tableau",full-time,614244.0,4-9,Product Manager - Data Platform and Business Intelligence
Luxoft,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Post-graduate,"hive, spark, Storm, Tableau, Python, Hadoop, Kafka, Java",full-time,708271.0,6-10,Hiring For Data Engineer_Remote India
New Era India Consultancy Pvt. Ltd.,Bengaluru,UG,"Customer acquisition, Operations management, Internet technologies, EMEA, Social networking, Reconciliation, Talent management, Operations",contract,1825396.0,4-6,Data Enginner
Microsoft,Bangalore/Bengaluru,,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Oracle, Computer science",contract,960386.0,8-12,Cloud Solution Architect - Data & Analytics
CloudThat Technologies Pvt. Ltd.,Bangalore/Bengaluru,pg,"IT Skills, Java, Python, Cloud, DevOps, AWS, Azure, Cloud computing",contract,2320273.0,3-8,Azure Data Expert - Trainer
MENORAH PERSONNEL MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,pg,"Linux, project support, RDBMS, PHP, Apache, Open source, Ruby, Pentaho",contract,2241673.0,7-12,Big Data Architect
CaaStle,Bangalore/Bengaluru,Post-graduate,"software development, big data, machine learning, Data Platform",full-time,834177.0,3-8,Product Manager - Data Platform and Machine Learning
Accion Technologies Private Limited,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Mumbai (All Areas)",UG,"python, spark, communication, Git, Object Relational Mapper, Cloudera, Redshift, data lake",contract,594900.0,5-10,Immediate joiners _Big Data Engineer_ Spark + python
Continental Corporation,Bangalore/Bengaluru,pg,"Computer science, MS SQL, Data analysis, Data management, Coding, Javascript, Data analytics, Oracle",contract,2476391.0,3-6,Data Analytics Specialist
Kaleidofin,"Chennai, Bangalore/Bengaluru",pg,"Data Science, Advanced Analytics, Big Data, Credit Risk, Financial Planning, Senior Management, Statistical Modelling, Machine Learning",contract,884300.0,8-13,Principle Data Science
Searce Cosourcing Services Pvt Ltd,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)",Post-graduate,"Google Data Studio, Power Bi, Looker, IT Skills, Testing, Quality Assurance, Tableau, analytics",,2463809.0,2-5,Are You a natural To deriving intelligent solutions from data
JoulestoWatts Business Solutions Pvt Ltd,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",ug,"CI/CD, Azure Databricks, Data Lake, Data Warehousing, PYSPARK, Python",contract,1662208.0,4-9,Azure Data Bricks
Diverse Lynx,Bengaluru,Post-graduate,"Supply chain, Computer science, Computer vision, Prototype, data science, Analytical, Machine learning, Predictive modeling",contract,731115.0,2-6,Data Scientist_Tesco
Portcast,Bangalore/Bengaluru,Post-graduate,"Graphics, Stakeholder Engagement, Machine learning, Product design, market data, data visualization, Design analysis, Product research",contract,1797473.0,3-7,"Product Designer, Data Visualization"
Shell,Bangalore/Bengaluru,UG,"AzureML, Deep Learning, Python, Pytorch, Tensorflow, Data Science, Artificial Intelligence, Statistical Modeling",contract,310483.0,5-10,Data Science Researcher
Prolifics,"Hyderabad/Secunderabad, Pune",pg,"PowerBI, Python, Cognos, Java, Tableu, Azure Cloud, analytical, Superset",contract,1916661.0,8-12,"Data Architect(PowerBI, Tableu)"
Metyis,Bangalore/Bengaluru,PG,"Cloud computing, Data management, Analytical, Machine learning, Scrum, Agile methodology, Business solutions, Operations",full-time,520205.0,10-20,Data Architect
